States/UTs,Area,Energy Kcal,Protein g.,Fats g.,Calcium Gm.,Phos. Gm.,Iron Gm.,Thiamin Gm.,Ribo Gm.,Niacin Gm.,Vit.c Gm.,Vit.A Ug.
RDA,,2425,60,,400,,28,1.2,1.2,16,40,600
Haryana,R,2336,72,49,886,,26,2.4,1.1,20,38,415
Himachal Pradesh,R,2323,74,41,640,,23,2.1,0.9,16,55,481
Punjab,R,2341,77,34,966,,28,2.5,1.2,21,38,448
Rajasthan,C,2386,77,47,734,2130,31,2.6,1.2,21,46,400
Rajasthan,R,2439,78,46,735,2192,32,2.7,1.3,22,45,395
Rajasthan,U,2157,68,49,728,1861,25,2.2,1.1,19,51,423
Chandigarh,C,2412,73,63,997,1844,22,2.1,1.1,17,52,391
Chandigarh,R,2617,73,69,883,1851,23,2.1,1.1,18,39,257
Chandigarh,U,2381,73,62,1014,1842,22,2.1,1.1,17,54,411
Delhi,C,2183,69,44,715,1685,21,1.9,1,17,57,386
Delhi,R,2713,87,62,647,2251,32,3,1.2,25,54,486
Delhi,U,2162,69,43,718,1663,21,1.9,0.9,17,57,382
Bihar,C,2464,70,24,433,1757,22,1.9,0.9,20,60,263
Bihar,R,2463,69,24,420,1749,22,1.9,0.9,20,58,267
Bihar,U,2470,72,28,497,1798,23,2,1,21,69,243
Sikkim,C,2191,65,26,565,1353,21,1.6,1.3,24,66,368
Sikkim,R,2197,64,25,566,1343,21,1.5,1.3,24,65,376
Sikkim,U,2157,70,31,561,1414,22,1.7,1.3,23,75,322
Orissa,R,2106,49,13,381,,27,0.8,0.6,12,40,436
Arunachal Pradesh,R,1946,91,20,1020,1544,21,1.7,1.3,26,131,698
Assam,R,1975,51,17,364,,12,0.7,0.6,12,47,235
Manipur,C,2604,77,19,683,1628,27,1.8,1.5,30,103,357
Manipur,R,2608,77,18,671,1624,27,1.8,1.5,30,98,347
Manipur,U,2589,78,20,728,1642,26,1.7,1.6,30,124,395
Meghalaya,C,1702,61,30,758,1112,20,1.1,1,48,50,296
Meghalaya,R,1677,60,30,750,1104,20,1.1,1,7,50,297
Meghalaya,U,1880,65,33,822,1177,25,1.2,1,18,52,285
Mizoram,C,2017,65,41,1066,1254,19,1.3,1.6,18,126,855
Mizoram,R,1916,61,38,1047,1211,18,1.2,1.6,17,118,802
Mizoram,U,2404,81,50,1138,1419,24,1.6,1.8,21,158,1062
Nagaland,R,2189,76,30,878,1455,23,1.7,1.5,25,108,702
Tripura,C,2306,86,25,1208,1598,26,1.5,1.3,24,69,431
Tripura,R,2320,87,25,1235,1614,26,1.6,1.3,24,71,441
Tripura,U,1968,60,28,563,1197,21,1.3,1,19,29,173
Daman & Diu,R,2470,71,67,781,1434,23,1.2,1.1,18,84,552
Dadra & Nagar Haveli,R,1934,58,25,506,1220,23,1.3,0.9,15,64,340
Goa,C,2095,59,40,630,1249,19,1.1,0.9,19,46,198
Goa,R,2149,60,41,627,1267,19,1.1,1,19,44,205
Goa,U,1895,56,39,641,1183,19,1,0.8,17,53,172
Gujarat,R,2298,64.1,44.1,536,,26.6,1.7,1.15,15.9,25.4,263
Maharashtra,R,2065,61.1,33.8,404,,28.6,1.82,0.9,16.3,18.5,222
Andhra Pradesh*,R,2231,57.1,58.8,696,,22.8,0.7,0.77,12.6,50.3,214
Kerala,R,1814,44.4,20.1,455,,20.2,0.77,0.63,9.7,29.9,184
Karnataka,R,2196,55.5,24.2,839,,30.6,1.54,0.89,12.2,32.7,286
Tamil Nadu,R,2430,57.6,28.3,518,,26.2,0.87,0.77,13.6,34,352
Madhya Pradesh,R,2238,57.9,17.7,354,,27,1.13,0.83,15.8,44.5,343