States/UT,Total,Rural,Urban
Andhra Pradesh,20.9,23.6,15
Arunachal Pradesh,9.5,9.4,9.6
Assam,21.9,23.2,0
Bihar,19.8,20.6,0
Chhattisgarh,18.5,20.7,0
Delhi,0,0,0
Goa,17.5,21.5,15.7
Gujarat,0,0,0
Haryana,22.3,25.2,17.4
Himachal Pradesh,15.7,16.1,12.7
Jammu and Kashmir,0,0,0
Jharkhand,28.6,33.6,0
Karnataka,27.7,33.1,20.3
Kerala,13.8,14.2,13.4
Madhya Pradesh,21.2,24.2,0
Maharashtra,27.9,34.2,21.2
Manipur,10,11.4,7.5
Meghalaya,16.1,16.2,15.8
Mizoram,16,19.1,14
Nagaland,13.3,13.4,13.3
Odisha,30.3,32.5,0
Punjab,15.3,16.8,12.8
Rajasthan,28.1,30.6,0
Sikkim,10.4,10.5,10
Tamil Nadu,19.2,23.2,15.1
Telangana,27.5,33,20
Tripura,20.2,21.6,16.6
Uttar Pradesh,28.4,30,0
Uttarakhand,19.6,21,0
West Bengal,26.7,29.9,19.9